,Player Name,Player Id,Owner Id
0,Marvin Jones,1067,859924767849963520
1,Allen Robinson,1992,859924767849963520
2,Davante Adams,2133,859924767849963520
3,Logan Thomas,2251,859924767849963520
4,Tyler Lockett,2374,859924767849963520
5,Jared Goff,3163,859924767849963520
6,Derrick Henry,3198,859924767849963520
7,Alvin Kamara,4035,859924767849963520
8,Cooper Kupp,4039,859924767849963520
9,Patrick Mahomes,4046,859924767849963520
10,Matthew Stafford,421,859924767849963520
11,Austin Ekeler,4663,859924767849963520
12,Dallas Goedert,5022,859924767849963520
13,Diontae Johnson,5937,859924767849963520
14,Greg Dortch,5970,859924767849963520
15,Jaylen Waddle,7526,859924767849963520
16,Terrace Marshall,7565,859924767849963520
17,Rondale Moore,7601,859924767849963520
18,Trey Lance,7610,859924767849963520
19,Chase Brown,9224,859924767849963520
20,Tank Bigsby,9225,859924767849963520
21,Darnell Washington,9479,859924767849963520
22,Michael Mayer,9482,859924767849963520
23,Jalin Hyatt,9497,859924767849963520
24,Roschon Johnson,10235,859927095139270656
25,Leonard Fournette,3969,859927095139270656
26,Joe Mixon,4018,859927095139270656
27,Evan Engram,4066,859927095139270656
28,Joshua Dobbs,4179,859927095139270656
29,Kendrick Bourne,4454,859927095139270656
30,Matt Breida,4455,859927095139270656
31,Josh Allen,4984,859927095139270656
32,Nick Chubb,4988,859927095139270656
33,Durham Smythe,5008,859927095139270656
34,Brandon Aiyuk,6803,859927095139270656
35,Isaiah Hodgins,6920,859927095139270656
36,Marshawn Lynch,745,859927095139270656
37,DeVonta Smith,7525,859927095139270656
38,Nico Collins,7569,859927095139270656
39,Khalil Herbert,7608,859927095139270656
40,Rhamondre Stevenson,7611,859927095139270656
41,Jake Ferguson,8110,859927095139270656
42,Wan'Dale Robinson,8126,859927095139270656
43,Rachaad White,8136,859927095139270656
44,Justyn Ross,8140,859927095139270656
45,Garrett Wilson,8146,859927095139270656
46,Greg Dulcich,8172,859927095139270656
47,Ty Chandler,8230,859927095139270656
48,Israel Abanikanda,9227,859927095139270656
49,Zach Charbonnet,9753,859927095139270656
50,C.J. Stroud,9758,859927095139270656
51,Zay Flowers,9997,859927095139270656
52,Rashee Rice,10229,867861194491506688
53,Adam Thielen,1689,867861194491506688
54,Tyler Boyd,3225,867861194491506688
55,Deshaun Watson,4017,867861194491506688
56,Chris Godwin,4037,867861194491506688
57,JuJu Smith-Schuster,4040,867861194491506688
58,Zay Jones,4080,867861194491506688
59,Kareem Hunt,4098,867861194491506688
60,George Kittle,4217,867861194491506688
61,Lamar Jackson,4881,867861194491506688
62,Gus Edwards,5248,867861194491506688
63,DK Metcalf,5846,867861194491506688
64,Kyler Murray,5849,867861194491506688
65,Alexander Mattison,5987,867861194491506688
66,Gardner Minshew,6011,867861194491506688
67,AJ Dillon,6828,867861194491506688
68,Zack Moss,6845,867861194491506688
69,Joshua Kelley,7045,867861194491506688
70,K.J. Osborn,7066,867861194491506688
71,Noah Gray,7828,867861194491506688
72,Khalil Shakir,8134,867861194491506688
73,Jerome Ford,8143,867861194491506688
74,Jameson Williams,8148,867861194491506688
75,Breece Hall,8155,867861194491506688
76,Luke Musgrave,9481,867861194491506688
77,Bijan Robinson,9509,867861194491506688
78,Jordan Addison,9756,867861194491506688
79,Latavius Murray,1476,867876367142948864
80,Cordarrelle Patterson,1535,867876367142948864
